ARG	feature	score_RF	score_Odds
K19077	K02417	0.0011954350593451	0.4418793984791276
K19077	K02419	0.0012344407640149	0.4447687650219377
K19077	K02421	0.0013545006831513	0.4793527682021297
K19077	K02424	3.083261747283456e-05	-0.1921605302069786
K19077	K02426	1.8187282591818123e-16	-0.6464633511619684
K19077	K02427	3.552919202037359e-16	-0.4601573775140838
K19077	K02435	7.69322491761023e-06	0.1086721374130103
K19077	K02438	5.592700167748743e-16	-0.2191446922206632
K19077	K02444	7.732389006289554e-16	-0.1614617232648101
K19077	K02452	1.327809194334209e-16	-0.116838997890312
K19077	K02455	4.462307338565676e-16	-0.155767357911482
K19077	K02457	4.2633751300347563e-16	-0.1284992364742549
K19077	K02461	6.481832618224022e-16	-0.1919394100432672
K19077	K02462	5.153812945548852e-16	-0.1080895645966081
K19077	K02481	2.6736105516923e-07	-0.1321518015856499
K19077	K02488	5.542442406133678e-05	-0.5281331267831815
K19077	K02494	2.687072599186067e-16	-0.1498344979628002
K19077	K02496	6.245979042748552e-09	-0.1071295468384041
K19077	K02517	0.0001028848028408	-0.7291086153621511
K19077	K02523	5.138229773483948e-05	-0.7120262695261171
K19077	K02529	4.383721615002147e-05	0.2870640268753093
K19077	K02535	3.276554607119484e-16	-0.5468296136952429
K19077	K02536	0.0004363543624599	-0.8446069118454806
K19077	K02558	3.9665541063152014e-16	-0.4270097374247933
K19077	K02564	0.0048348243886692	-0.6223568387610833
K19077	K02574	0.0098616835816026	1.2113843941960043
K19077	K02575	3.408832036525362e-05	-0.6802181287395684
K19077	K02619	1.8893677555265747e-16	-0.3031680852537118
K19077	K02624	6.269586161453283e-16	-0.2590441564244363
K19077	K02656	1.604403018989321e-07	-0.1172182011125297
K19077	K02663	1.6251452293756658e-16	-0.1288965900936317
K19077	K02666	1.33828038444918e-08	-0.1045591253463044
K19077	K02687	7.202087452248172e-16	0.1935115495556001
K19077	K02823	0.0044589792145017	1.1519925525695236
K19077	K02837	3.1495523716875696e-05	0.2990443169639976
K19077	K02847	1.264134671583903e-06	-0.319738006515963
K19077	K02851	0.0013677618274881	-0.6804518984331275
K19077	K02858	4.673083584487385e-16	-0.2026942248359768
K19077	K02970	1.804462943037178e-06	0.1293312087454797
K19077	K03072	0.0007518101720463	-0.9183417611070516
K19077	K03074	0.0002298131015945	-0.8337846976121536
K19077	K03117	0.0001086541238359	-0.7952046350915661
K19077	K03151	0.0028340703749856	1.0548928158863886
K19077	K03179	0.0002903561733093	-0.8150728411691099
K19077	K03181	8.99342585247391e-17	-0.1038494035648141
K19077	K03182	1.842772300732002e-06	-0.4882136317719767
K19077	K03183	0.0135193881987811	-1.255156974975934
K19077	K03188	2.277035993287957e-16	-0.5173722324810758
K19077	K03192	5.03456662341381e-16	-0.0933106964597473
K19077	K03216	4.674094703711747e-16	0.3279367513388678
K19077	K03269	1.5616818313535492e-16	-0.6925357692315425
K19077	K03270	7.052588500884389e-05	-0.5659334708011492
K19077	K03300	0.0091791817891214	0.6458644003047455
K19077	K03305	1.276077628985785e-16	-0.5624758373594387
K19077	K03315	0.0029918143424137	0.5609446154720611
K19077	K03316	7.33995668986274e-16	-0.0700377519395329
K19077	K03317	3.844926652829623e-16	-0.116883566015817
K19077	K03325	0.0006291730697578	-0.7617795720358501
K19077	K03402	0.0001649889692056	0.8232770826684045
K19077	K03405	5.399241479514729e-16	-0.3347980148880404
K19077	K03406	0.0004449070697795	-0.052906923166345
K19077	K03407	0.0005077083121618	0.0361401428863678
K19077	K03415	0.0169045260779969	1.2514523813302427
K19077	K03417	8.281262686128175e-16	-0.240216741351211
K19077	K03426	0.0037068522978438	0.6698363062852918
K19077	K03442	0.0020500514479311	0.8237201386562532
K19077	K03474	0.0002987156979106	-0.8245544298950277
K19077	K03478	6.042401349056847e-06	-0.1734520677467158
K19077	K03499	5.116813662269647e-16	0.258977287262602
K19077	K03517	0.001313152489266	-0.4193600295540707
K19077	K03520	4.663612002633078e-16	-0.0983453986779356
K19077	K03523	7.896747905732515e-05	0.7625528282255283
K19077	K03525	1.0030431353066145e-07	0.1687321351619183
K19077	K03543	2.503103575948093e-16	-0.4915636015147434
K19077	K03560	4.898559634753407e-16	-0.2919539126878883
K19077	K03562	7.511555837754173e-06	-0.5011687583764957
K19077	K03568	1.9606913935324866e-06	-0.7401495225141326
K19077	K03569	6.268125372958046e-16	0.1134633616488262
K19077	K03576	2.460415086298647e-16	-0.153580197315337
K19077	K03578	9.559782293704434e-06	-0.5382637251021518
K19077	K03585	0.0005072555442916	-0.8278890757868336
K19077	K03586	2.684794373453751e-16	-0.2171628226483849
K19077	K03592	8.949615404756672e-05	-0.5476716487410143
K19077	K03594	2.989856414502214e-05	-0.6972323423628064
K19077	K03600	1.3451524359639496e-16	-0.16739743583496
K19077	K03605	2.575926453444422e-06	-0.0831375260076507
K19077	K03608	0.005195944996258	0.9926776124158112
K19077	K03612	0.005924101905601	1.166935477291836
K19077	K03613	0.0073025156023771	1.1744916251499344
K19077	K03617	0.0061649421668018	1.1726701376890176
K19077	K03634	0.0001287348740865	-0.7758910956468208
K19077	K03635	0.0026007739863955	-1.0633052177718745
K19077	K03640	7.247151283281728e-06	-0.6518336512316174
K19077	K03641	3.433537568740842e-05	-0.6962012996931339
K19077	K03642	4.664228110519901e-05	-0.7362272621994772
K19077	K03643	1.5843997416190424e-06	-0.5478207478456733
K19077	K03646	3.1846387999678667e-16	-0.1617902844280868
K19077	K03652	6.216280021646139e-05	-0.6066179807910961
K19077	K03667	0.0006183004451897	-0.768350341100722
K19077	K03670	4.752612661114407e-16	-0.1088268040824288
K19077	K03672	1.275980248812803e-16	-0.1920926053270792
K19077	K03673	3.310850063645857e-16	-0.2001149857319508
K19077	K03676	2.205722564530586e-06	-0.4325108145860972
K19077	K03684	3.341851213474358e-05	-0.7273835740727416
K19077	K03690	2.094854089185639e-07	-0.1445693279237504
K19077	K03698	0.0172633570792291	1.3041842496397291
K19077	K03704	2.078238883052513e-06	0.1050029035195437
K19077	K03705	4.3447843489111767e-16	0.3574872942957889
K19077	K03709	0.0002460437210587	-0.5645400232276683
K19077	K03718	4.519147947073905e-16	-0.3017041655055613
K19077	K03724	9.988903212146696e-06	-0.6719529314583097
K19077	K03737	0.0055133524885112	1.172076757957495
K19077	K03748	1.2320176803381711e-06	-0.1173774818984258
K19077	K03762	3.108407830351249e-16	-0.1510825028086031
K19077	K03767	0.0009092281540347	0.6960522526560131
K19077	K03770	0.0001010977015851	-0.7708415766762249
K19077	K03771	5.187127644700812e-06	-0.6289452043574593
K19077	K03773	5.856644690125496e-16	-0.0882707419403603
K19077	K03783	0.0005073013258039	-0.0441058362977797
K19077	K03784	0.0005408918420917	0.3637406188193588
K19077	K03787	0.00165289404184	-0.9488364694622938
K19077	K03789	1.103380995865402e-05	0.120455942313543
K19077	K03799	0.0003777471403017	-0.8989604647462138
K19077	K03801	0.0019673243124175	-1.0991364773197387
K19077	K03808	2.2200396212815275e-16	-0.1952219359573096
K19077	K03809	1.5424802068228457e-05	-0.6341151720155006
K19077	K03814	2.749216516215448e-16	-0.5777053336149811
K19077	K03828	5.676662503181981e-16	-0.1916989100380284
K19077	K03830	0.000101403890305	-0.0867703376933057
K19077	K03831	0.000500175166955	-0.2039568946678983
K19077	K03856	0.0030895605047325	0.5701097706576255
K19077	K03928	2.582045528925233e-16	-0.1858587254525389
K19077	K03973	0.0013849418201235	-0.7382052927934075
K19077	K03978	1.9752013304956417e-05	0.182520683103358
K19077	K03981	3.2889172857887323e-16	-0.1885850731883157
K19077	K04033	3.6615915516831597e-16	-0.0845690990109901
K19077	K04034	0.0181845481955304	1.2609895486894511
K19077	K04042	0.0128057500002341	-1.2343514654471364
K19077	K04046	2.9897792141657553e-16	-0.2690662018655201
K19077	K04065	1.2528845704268077e-06	-0.3872151843035939
K19077	K04072	0.0005308215404098	-0.0957090430432859
K19077	K04080	4.020803592946901e-16	-0.1726519480766248
K19077	K04082	3.6885097012363486e-16	-0.1162583984112702
K19077	K04084	2.496046480751257e-16	-0.189210012721059
K19077	K04090	7.002523018242009e-16	-0.1132123554960318
K19077	K04477	5.185017325949806e-05	-0.1492016194327975
K19077	K04488	2.1075673637655613e-06	0.5943620986603668
K19077	K04562	0.001391917708838	0.3993241468753567
K19077	K04568	1.904788894353582e-16	-0.1365313141214958
K19077	K04654	9.670691031759964e-05	-0.2214306394486506
K19077	K04752	2.670806363378308e-16	-0.2585024447099993
K19077	K04758	7.266781311124003e-05	0.6784181274887681
K19077	K04759	2.6189788393358128e-05	0.6394651643493041
K19077	K04761	3.252791105933759e-16	-0.7833102285413192
K19077	K04768	4.5956039565525e-16	-0.1023424202293384
K19077	K04771	0.0193399411450045	-1.2801251929987076
K19077	K05367	6.714832755594704e-16	-0.4269440980999103
K19077	K05521	8.266770150802746e-07	-0.0678226378996728
K19077	K05524	0.0001020033178004	-0.7353412926173586
K19077	K05539	4.819550236464155e-16	-0.4088331017766933
K19077	K05589	3.7972206599779255e-16	-0.2241158198825689
K19077	K05601	0.0203102277457334	1.304858998605138
K19077	K05606	3.94439749933717e-05	-0.6395824415595683
K19077	K05786	1.3425925922689698e-05	-0.7322278662786188
K19077	K05799	0.0003940911711369	0.4315016651729148
K19077	K05801	2.0002200470179411e-16	-0.3241313892902785
K19077	K05802	2.2587497851177037e-16	-0.1019065471033514
